particle,frames_tracked,mean_speed(px/s),total_displacement(px),mean_squared_displacement(px²),directional_persistence,mean_turn_angle(deg)
307,3,117.702,13.809,317.09,0.273,80.69
308,4,60.378,24.909,89.307,0.72,28.05
311,4,76.951,32.372,131.093,0.734,82.48
313,7,71.542,52.586,127.005,0.733,28.58
314,11,58.936,5.858,123.812,0.063,79.3
315,4,71.559,12.649,170.771,0.308,121.24
316,21,57.378,65.373,102.472,0.379,110.79
317,6,66.216,10.582,107.168,0.186,129.44
318,9,85.715,23.586,220.328,0.213,127.49
320,13,59.083,17.529,134.497,0.159,72.43
321,6,75.863,39.787,186.732,0.61,98.67
324,18,80.497,19.631,185.203,0.095,120.44
325,15,73.441,16.553,136.204,0.105,98.49
326,7,48.75,18.153,74.351,0.371,95.24
327,12,72.734,71.329,166.357,0.57,95.29
328,10,80.809,47.547,195.621,0.411,103.64
329,13,60.727,25.844,96.793,0.229,69.13
330,3,167.387,11.953,597.143,0.166,167.37
331,10,44.399,27.533,61.081,0.433,88.25
332,33,58.272,82.519,106.223,0.3,98.35
333,7,73.517,16.643,175.599,0.226,105.93
334,7,76.096,10.144,155.508,0.133,89.1
335,4,91.506,30.746,233.688,0.586,113.53
337,3,83.686,16.102,181.048,0.448,67.26
338,9,46.647,37.637,67.037,0.626,41.32
339,13,75.897,69.262,146.824,0.49,57.29
340,3,100.279,30.321,209.143,0.704,50.32
341,11,84.042,16.814,196.93,0.127,84.77
342,8,73.386,10.296,162.427,0.122,82.41
343,21,53.286,42.876,92.652,0.267,81.49
344,17,68.313,43.367,134.084,0.261,88.65
345,5,41.02,7.826,72.813,0.266,69.76
346,30,31.075,91.73,34.242,0.687,71.14
347,6,29.887,20.892,72.05,0.813,87.62
348,7,72.912,10.446,145.806,0.143,121.18
349,5,75.815,27.011,127.047,0.497,89.43
350,5,72.598,27.252,162.181,0.524,53.48
351,7,73.312,18.695,159.354,0.254,120.3
354,19,72.841,85.935,139.327,0.433,76.63
355,4,50.74,11.885,80.373,0.409,141.99
356,3,82.784,21.595,206.641,0.607,136.09
357,12,45.583,10.495,84.84,0.134,93.0
358,8,48.769,14.584,73.161,0.261,72.93
362,7,74.255,17.832,162.02,0.239,102.03
364,8,75.521,14.318,178.625,0.165,89.25
365,5,60.81,4.717,117.52,0.108,52.71
366,5,60.794,29.398,117.456,0.675,90.44
368,5,49.958,5.074,144.849,0.142,93.87
369,10,37.186,13.601,46.473,0.255,81.25
370,10,47.078,21.339,74.608,0.316,79.9
371,6,62.734,7.433,128.728,0.138,111.08
372,4,61.889,4.842,126.476,0.137,122.46
373,23,46.493,33.735,69.187,0.22,104.58
375,13,52.549,26.005,115.146,0.266,59.97
376,5,70.26,25.341,132.013,0.504,84.49
379,3,41.081,14.499,78.648,0.821,156.76
381,23,81.915,136.771,181.203,0.507,82.08
384,6,67.503,18.741,123.982,0.323,66.89
385,4,90.371,4.2,203.967,0.081,110.39
386,24,69.718,24.2,149.41,0.101,105.45
387,20,91.947,19.906,230.962,0.076,101.54
388,5,57.235,31.388,76.067,0.766,33.22
390,5,25.292,6.723,17.098,0.371,103.88
392,5,71.556,31.182,178.003,0.608,38.46
393,5,100.34,27.226,250.655,0.379,107.25
394,13,35.947,6.294,76.527,0.094,82.71
395,20,54.238,83.117,99.352,0.535,51.75
396,20,44.71,22.532,76.121,0.176,71.16
401,15,55.296,47.461,137.068,0.399,64.79
402,10,52.738,28.457,108.193,0.377,90.26
404,3,66.7,6.987,95.082,0.244,132.09
405,16,78.051,86.976,171.019,0.486,78.6
406,4,71.257,14.4,130.839,0.353,90.48
407,10,102.418,55.199,249.051,0.376,115.42
408,8,64.114,30.364,127.384,0.413,65.32
409,5,70.089,12.816,135.84,0.255,135.54
412,22,68.043,101.73,125.37,0.474,85.23
414,10,51.829,43.9,99.581,0.591,32.59
416,6,16.951,9.21,6.458,0.632,40.73
417,3,44.189,7.555,45.065,0.398,92.11
418,7,58.038,30.883,101.152,0.531,96.13
419,9,56.064,24.947,77.849,0.345,56.34
420,4,20.991,2.582,11.844,0.215,101.53
423,21,48.225,65.531,68.085,0.452,96.47
424,18,60.002,20.089,104.345,0.13,101.73
426,20,51.326,77.69,81.383,0.528,77.55
427,7,39.562,15.907,62.288,0.401,70.01
428,3,98.351,21.662,244.227,0.512,115.84
429,13,51.047,56.909,65.482,0.599,39.63
432,5,30.469,19.682,36.978,0.902,17.89
433,4,49.772,8.176,110.433,0.287,66.46
434,6,22.706,5.006,12.998,0.256,84.58
436,5,64.206,27.115,173.81,0.59,125.26
437,12,67.601,1.878,138.091,0.016,85.39
438,11,58.569,10.088,112.522,0.109,91.66
440,4,4.075,0.652,0.344,0.279,155.21
441,7,72.527,7.278,142.595,0.1,94.01
443,10,57.702,21.96,109.803,0.266,137.12
444,9,117.878,70.089,333.641,0.461,86.49
445,3,14.855,2.0,5.241,0.313,122.66
446,5,37.063,13.108,41.912,0.494,115.3
447,3,64.372,8.173,94.945,0.295,148.16
448,7,102.231,6.978,308.366,0.068,94.48
449,17,59.437,26.675,131.778,0.184,73.31
452,6,76.575,33.126,144.387,0.503,87.57
453,7,56.799,8.108,122.661,0.142,80.45
455,12,63.692,11.266,105.435,0.103,77.9
456,15,78.911,120.856,163.783,0.713,75.1
457,18,62.097,121.529,103.16,0.759,51.34
458,17,70.668,118.0,153.617,0.686,49.54
459,3,111.861,15.949,340.232,0.332,101.73
461,4,44.911,14.411,59.522,0.56,83.02
470,4,59.197,4.162,87.287,0.123,116.72
471,4,44.419,15.245,62.499,0.599,95.28
472,13,33.506,28.634,33.848,0.459,59.98
473,8,46.525,6.006,70.015,0.113,114.2
475,4,63.117,14.279,86.204,0.395,110.18
476,7,17.401,11.438,11.635,0.655,110.71
477,3,47.451,9.487,61.5,0.465,94.96
479,6,46.278,22.091,89.422,0.555,100.78
480,5,76.507,21.84,142.888,0.399,89.31
481,11,65.112,26.002,105.204,0.253,75.43
482,13,74.348,73.393,171.284,0.53,86.35
484,11,80.61,16.143,174.599,0.127,93.93
485,4,52.073,9.367,67.127,0.314,115.98
486,13,32.398,24.834,35.455,0.412,50.17
487,11,69.714,31.255,148.11,0.284,94.95
491,14,36.094,8.263,43.481,0.114,112.47
493,13,55.508,9.739,105.473,0.094,88.81
495,9,66.221,59.458,98.349,0.696,64.35
497,8,52.263,16.708,108.395,0.279,109.07
498,11,57.501,44.593,83.136,0.492,70.81
499,12,101.838,27.266,277.965,0.156,111.99
503,4,58.544,25.102,118.227,0.748,61.82
507,8,64.567,6.849,117.229,0.093,87.86
508,3,52.692,20.304,144.913,0.897,86.49
509,6,60.352,23.554,100.457,0.454,76.72
511,8,87.285,36.824,205.381,0.368,80.75
512,5,56.82,19.488,84.058,0.479,114.65
515,3,59.196,5.633,85.828,0.221,88.51
518,6,76.666,5.608,137.072,0.085,104.79
519,7,73.838,17.476,148.879,0.236,112.8
520,11,64.834,9.16,153.339,0.09,69.69
521,6,42.277,31.999,72.834,0.881,45.48
523,5,51.384,26.337,64.19,0.716,71.01
524,7,55.574,10.043,100.349,0.18,85.75
526,6,60.748,20.766,138.87,0.398,144.08
528,10,39.441,12.827,49.595,0.227,87.51
529,12,34.995,43.445,35.77,0.722,55.0
530,10,70.383,24.93,155.283,0.247,150.85
531,7,72.82,35.268,118.34,0.483,105.74
533,8,59.016,31.153,115.032,0.461,92.35
534,9,54.12,28.072,104.095,0.402,98.38
