frame,x,y,particle
0,239.5,239.5,0
1,138.5,469.0,1
1,455.05405405405406,458.0810810810811,2
1,467.1777777777778,457.5777777777778,3
1,287.48936170212767,380.17021276595744,4
1,186.7319587628866,337.1340206185567,5
1,177.30882352941177,337.6764705882353,6
1,36.0,296.0,7
1,293.0,149.92619926199262,8
1,296.7931034482759,379.08045977011494,9
1,132.6,70.7,10
1,132.55555555555554,56.888888888888886,11
1,118.2,65.83,12
1,347.5,41.0,13
1,352.0,24.0,14
1,346.1111111111111,19.88888888888889,15
1,77.50314465408805,8.0062893081761,16
1,133.4,135.6,17
2,138.0,476.875,1
2,124.28048780487805,471.6341463414634,18
2,467.4516129032258,452.38709677419354,3
2,186.85714285714286,346.2142857142857,5
2,80.13888888888889,10.61111111111111,16
2,127.2247191011236,72.37078651685393,10
2,119.58823529411765,56.05882352941177,12
2,291.7257142857143,151.29142857142858,8
3,123.15094339622641,476.0943396226415,18
3,289.15384615384613,377.2307692307692,4
3,286.84313725490193,150.55882352941177,8
3,295.0,156.0,19
3,178.95833333333334,339.7916666666667,6
4,285.9047619047619,395.5,22
4,289.5,382.5,4
4,296.0,371.5,9
4,294.77777777777777,363.6666666666667,20
4,175.22222222222223,348.77777777777777,5
4,297.5483870967742,395.61290322580646,21
4,289.0478087649402,147.47410358565736,19
4,295.0,135.5,8
4,129.3548387096774,55.193548387096776,11
4,73.39583333333333,8.75,16
4,188.0,332.5,6
5,123.19536423841059,69.02649006622516,10
5,290.09090909090907,143.54545454545453,8
5,293.80392156862746,151.47058823529412,19
6,288.82089552238807,381.53731343283584,4
6,284.9189189189189,151.78378378378378,19
6,73.56410256410257,10.282051282051283,16
6,125.7420634920635,67.53968253968254,10
6,290.5,143.60714285714286,8
7,123.37050359712231,68.58992805755396,10
7,290.42391304347825,154.57608695652175,19
8,293.1171875,155.421875,19
8,288.0,144.0,8
8,105.0,425.5,23
8,72.0,12.0,16
8,120.3840579710145,83.98550724637681,10
9,131.0,81.5,10
9,285.85526315789474,142.0921052631579,8
9,291.86,155.94666666666666,19
9,85.0,440.0,23
10,288.48450704225354,135.09014084507044,8
10,291.1834862385321,159.93577981651376,19
10,114.0,53.0,24
10,130.2,86.3,10
11,115.0,53.5,24
11,128.0,84.0,10
11,289.37894736842105,129.7657894736842,8
11,287.0,153.5,25
11,291.46039603960395,163.9851485148515,19
12,293.05128205128204,134.51282051282053,29
12,289.41639344262296,169.49180327868854,19
12,289.0,155.0,25
12,293.3333333333333,154.0,28
12,284.03508771929825,130.2280701754386,8
12,113.0,49.0,24
12,127.0,83.5,10
12,409.0,66.0,26
12,127.0,53.0,27
12,291.1470588235294,115.01470588235294,30
13,293.1714285714286,132.0,29
13,283.3854166666667,174.55729166666666,19
13,293.59574468085106,164.51063829787233,28
13,291.0,156.0,25
13,292.75949367088606,179.58227848101265,35
13,283.0,137.5,8
13,294.0,124.0,34
13,418.57142857142856,77.42857142857143,26
13,285.0740740740741,116.85185185185185,30
13,112.9245283018868,93.24528301886792,31
13,127.10526315789474,88.21052631578948,10
13,427.49152542372883,70.8135593220339,32
13,127.2,50.2,27
13,113.44186046511628,47.41860465116279,24
13,294.44444444444446,106.11111111111111,33
14,294.1896551724138,182.9655172413793,35
14,282.4925373134328,182.1044776119403,19
14,294.13793103448273,167.0344827586207,28
14,282.0,137.0,8
14,293.0,125.0,34
14,281.14285714285717,124.07142857142857,30
14,113.5,97.88636363636364,31
14,290.11675126903555,105.27918781725889,33
14,115.0,89.0,36
14,126.41176470588235,88.05882352941177,10
14,125.5,51.5,27
14,113.5,43.625,24
14,459.0810810810811,115.1891891891892,37
15,294.0,168.5,25
15,447.0,423.5,38
15,294.93975903614455,186.80722891566265,28
15,283.2277227722772,183.990099009901,19
15,458.7971014492754,116.89855072463769,37
15,288.3333333333333,200.0,35
15,289.0806451612903,102.84946236559139,33
15,114.85526315789474,94.17105263157895,31
15,334.0,43.5,39
15,127.71052631578948,46.03947368421053,27
15,281.3333333333333,120.6231884057971,30
15,113.59574468085107,42.91489361702128,24
16,288.0,201.5,35
16,295.030303030303,192.43939393939394,28
16,281.75,118.5,30
16,457.283105022831,116.89954337899543,37
16,282.4047619047619,190.0952380952381,19
16,288.6363636363636,98.01398601398601,33
16,127.2,44.41428571428571,27
16,113.4,39.68571428571428,24
16,113.0,102.5,31
17,128.0,41.5,27
17,286.70394736842104,92.875,33
17,456.5,110.07407407407408,37
17,281.8139534883721,114.13953488372093,30
17,294.12280701754383,191.87719298245614,28
17,282.6764705882353,194.30882352941177,19
17,288.5882352941176,207.2058823529412,35
17,122.25165562913908,464.158940397351,40
17,131.3068181818182,465.27840909090907,41
18,294.94117647058823,196.58823529411765,28
18,125.94392523364486,465.73208722741435,40
18,455.94444444444446,123.72222222222223,42
18,282.8974358974359,197.05128205128204,19
18,282.0,110.5,30
18,288.5,85.0,33
