particle,mean_speed(px/s),total_displacement(px),mean_squared_displacement(px^2),directional_persistence,mean_turn_angle(deg)
1016,43.146000398039014,11.543396380615196,23.256186540732042,0.38220382204351916,88.28568677710494
1017,62.269720222308656,4.924428900898052,49.307413053978905,0.19770559765313647,136.84542731384087
1018,94.76938233239893,9.476938233239894,89.81235827664408,1.0,
1019,64.41849077982762,21.30548312315659,57.31265121516418,0.19455030658981426,124.38960840496898
1021,103.48055359508139,29.368586770372314,110.8898424601309,0.5676155712365315,90.88382909124563
1022,176.84883433057067,17.684883433057067,312.7551020408163,1.0,
1025,31.862089737445714,1.2668615834434878,15.340988596534375,0.02650718756747912,114.65046051270755
1026,56.64659470366837,1.8059213816622446,40.124085198877324,0.03542277030869969,123.68770763417511
1027,103.44334445585044,29.517254956798965,117.03213031035743,0.9511568905043448,26.59538765690661
1028,133.93878613911738,13.128094283030325,190.84379755362752,0.32671876114597226,108.71583204710453
1029,41.88081181581117,6.1282587702834,17.79294330751136,0.4877538984706605,105.48350734672695
1030,57.17838469192911,10.0,55.28437188208629,0.34978252897065587,149.94485341813896
1031,38.520428094417795,14.479515133696484,17.956823156567097,0.23493240875668628,87.6340822920623
1032,50.93964415975609,25.076834591632466,35.45670857538703,0.22376601497777984,84.50601690214245
1035,33.00802932621111,3.300802932621111,10.895300000000127,1.0,
1036,44.429707734803856,3.232488142567063,31.000330710705843,0.03307050320578537,71.25016888457115
1037,41.20897641197494,14.76224727596306,27.610439858966505,0.2985241032678116,109.51831554374611
1038,57.89839991314052,45.75779650759516,50.965908499455715,0.2549393340873493,86.53083018677452
1040,52.005138278722185,35.97246112213722,52.5543938104543,0.21615929642220139,83.8888974088918
1041,32.14857386097194,11.205815221775678,15.656069579216366,0.26812566865893833,93.34177702150855
1042,33.547103262366655,12.020815280171307,13.407978956713562,0.325751341497313,111.68083657921406
1043,171.34908927695622,17.134908927695623,293.60510396042315,1.0,
1044,64.07017555760991,10.405811010093236,46.087541928855615,0.5413757087199205,95.40478110565394
1045,70.90883965398324,18.26227407450664,71.44491809662352,0.2146215028058303,43.86728799132795
1046,69.96624116467368,6.7700796488823345,49.09078639337242,0.24190522229671327,151.97924037550038
1047,13.104921451103785,3.683456138114868,1.743823797177085,0.9369142098913846,29.31959679024849
1048,42.01754371793256,4.272001872658765,24.113509458463724,0.11296873466148878,116.10527940504176
1049,45.134701834098294,21.39046481208685,34.83362110585292,0.1354071507406039,100.71859072347507
1050,75.58879793954345,57.924684297013684,80.43936139234317,0.3649109888033833,98.61499648484563
1051,42.70568053944999,15.402921800749363,29.669528876573743,0.40075131317901713,90.20261127908144
1052,70.82861006862011,17.100073099258964,63.15079196835579,0.6035722387708896,66.45633048722544
1053,39.572119430496805,24.234800521211355,21.25440194033114,0.43744363582215956,60.16585108221185
1056,107.26224041506674,26.22380740908377,142.22047153972537,0.40747186999524027,114.9407597706755
1058,65.50993716838677,6.550993716838677,42.915518678059826,1.0,
1059,81.88970121842246,11.02943669980742,83.03446957396208,0.2244774889414739,53.67541179645441
1060,16.49242250247081,1.649242250247081,2.7200000000000553,1.0,
1061,75.88118564129498,4.843856856425662,82.75831698795203,0.04559625321282359,83.03441538644421
1062,78.85591655250293,5.647876804312768,77.73294448644685,0.08952842493042935,82.89192657864244
1063,43.58631820012073,0.8858699499911342,29.644471572698365,0.011291386667661543,122.10785669080211
1064,27.409564838656948,5.220153254455275,8.951400000000062,0.9522502975116659,39.699292576903204
1065,62.95267731044107,13.209844813622906,62.47924060856335,0.1234339392885704,121.12486057898704
1066,60.52760968571355,15.710046325697302,45.94302139345603,0.1441954103192732,90.00177620163261
1068,29.166759749229694,5.001426669231992,12.826595323028066,0.5715897951678917,84.57179332596883
1069,47.27547025227987,21.308293393581227,41.63673711815225,0.3756051725463557,76.10463824230867
1070,61.37366395110767,34.69475272772812,55.74839576153867,0.20937170099399235,88.47234285059147
1071,58.161101107492186,16.29372682999395,49.576838562350694,0.087546307367231,96.8050095018032
1072,68.9020007354922,41.96417403759103,62.658866075078514,0.32054812853683734,103.77437554635657
1073,65.20193336385633,13.391742205998336,58.069735893676636,0.5134718218885608,75.32859978107348
1074,43.1452469452359,11.74655667330388,27.591179229258046,0.08007532357342889,89.28001778300735
1076,29.842837362592974,16.62077013859466,25.065023068050746,0.9282389347819551,50.55374072633415
1077,49.86110879034261,26.195480526228184,41.45609257501118,0.2765099964338273,95.39504295949207
1078,62.830711178143105,13.038404810405298,58.09411007559978,0.23057380991487988,97.23950722182781
1079,80.11882402729576,21.044770204047843,72.35827283131636,0.32833685559460535,98.02470051979692
1080,61.94745019732086,3.862641583165614,55.39174797204741,0.05668501830417943,95.02159373730262
1081,49.901888086864794,11.672617529928752,44.37645996709635,0.08996590014644254,86.7360231446441
1082,44.38171599099847,10.017857142857153,30.831715411075333,0.4514407304525575,103.87396029650806
1083,77.81738225399037,29.678228815497043,65.42572772911491,0.6356383787242936,90.21497585987312
1084,25.17619424505036,3.905124837953327,6.3557692307692815,0.7755590062467591,78.41658139531349
1085,55.526754683415405,13.82931668593933,44.292532644638605,0.1132076433226312,98.03449008738038
1086,70.34351007080386,7.850159234053791,75.49959686138007,0.13949686378587484,99.09283951670001
1087,97.57749495333195,9.757749495333195,95.21367521367523,1.0,
1088,48.44205761038291,22.192341021172147,39.66110604350751,0.1762005207546021,93.36707957401504
1089,61.85431391428551,9.912203824175169,61.320118184812934,0.05935215135736042,89.41716288042697
1090,141.24783735368663,14.124783735368663,199.50951557093512,1.0,
1091,161.65737523234608,45.30372624959564,265.9584466937428,0.934151136717017,36.55398735786591
1092,78.59684109345508,16.13306965165823,76.71508434995593,0.5131589713788657,70.9681212346718
1093,99.42205277009595,21.721892758228968,123.65381506628411,0.5462040903656149,112.47497110482595
1094,65.69167590942227,15.750555923325157,57.138353758777924,0.2664054075392125,90.25395197921578
1095,52.062092578705325,23.47871376374779,34.78796917289793,0.2254876110507241,94.050031754727
1096,27.472405753981946,9.433981132056603,10.28820547738912,0.31218039513866513,100.0248211936703
1098,47.616718539688705,43.25583895973276,33.3144237525055,0.4325795473513189,81.8971472815185
1099,89.83597000365668,18.34393632784414,86.94634030200554,0.5104841726286662,108.76258373225146
1100,49.26934442652194,10.412492782768197,36.278012375444476,0.16256781830827446,83.46840288707548
