particle,mean_speed(px/s),total_displacement(px),mean_squared_displacement(px^2),directional_persistence,mean_turn_angle(deg)
0,119.00202535095656,34.000578671701874,292.1448635288806,0.21492471307607044,79.10375211962484
2,44.51732418042805,6.35961774006115,40.44473779970049,1.0,89.68113754887742
3,94.60663446394284,40.54570048454693,236.69599645485744,0.21588145625469804,99.84577788223596
4,71.4905326186508,40.85173292494331,134.34727951799405,0.35979843946727896,84.4789160784461
5,55.29700655953323,47.39743419388563,82.24852586819712,0.059837861442282834,76.4079812254608
6,56.735632646258225,48.63054226822134,78.37746983445713,0.23513645068169428,89.02677994600494
7,37.25253176017454,15.965370754360517,31.10314384618469,0.2727590231509355,106.9841315043322
8,50.560311953288775,7.2229017076126825,52.170309077834204,1.0,87.74307007699308
9,89.71400446530785,64.08143176093418,184.26932673901803,0.3028986278424046,105.97145343872805
10,83.90711357640556,35.96019153274524,152.6418081206102,0.7426774207925012,146.4072741049463
11,70.28866272674625,20.082475064784642,130.2988272050529,0.9385201512381095,106.61916499194784
14,31.29288319386579,8.94082376967594,26.02191554009991,0.696338339366044,104.1983345949051
17,48.73371468649605,27.84783696371203,55.23571637495285,0.2850380175154756,112.07548917138949
18,61.27121126085059,17.506060360243026,76.69380097696518,0.934455353463846,103.19605178627087
20,57.0560734183275,57.0560734183275,113.26773333824399,0.5044694036339131,120.41952835118046
21,68.35456663165276,48.824690451180544,152.423076769924,0.5556697022403854,113.11280216390756
22,51.42917482415635,14.694049949758956,57.492062010406414,0.8511657574322556,147.12141187563668
23,118.72157428784794,33.92044979652798,287.66960080552064,0.20780054241051713,78.01606549668445
24,91.20276511308569,39.086899334179584,180.29142796591918,0.7941659129708759,52.84998245613617
25,119.02133662464342,17.003048089234774,289.10364432483027,1.0,86.8356854047366
26,66.66137365887715,57.13832027903756,146.45972250679628,0.22580955371182002,87.6985143991925
28,101.98852215997343,58.27915551998482,229.30442199909956,0.4030155451338464,123.9672320443154
29,26.611941292120974,3.801705898874425,14.452967741536598,1.0,97.24030903771789
30,55.625880572440344,119.19831551237218,80.6184663004187,0.05216682550887401,98.59755496248091
31,33.149540853186366,14.206946079937012,23.209367057117287,0.8418587925344981,91.09618186492158
32,71.49067357697163,224.6849740990537,150.68595994122336,0.2205965925151514,84.6682326393575
33,45.65847781859619,19.567919065112655,51.90705477108622,0.21032796341411641,99.1848547716017
34,47.23797062975139,20.244844555607738,52.609197900679476,0.5037553934717209,54.27947721478452
36,71.02153929057312,30.437802553102767,135.73525480786424,0.7160716039563825,91.57122333890639
37,162.22121918519105,23.174459883598722,537.0555908965265,1.0,88.68394678302346
38,80.15559871424333,22.901599632640952,166.7403728144873,0.7418369574074372,87.71528785085499
39,82.51169634296407,212.17293345333619,167.11168190275208,0.5081861997097917,95.81587446384327
40,76.49938665579782,54.64241903985559,127.8743787799519,0.7681625010559242,104.26444613282911
41,62.7053446980364,17.915812770867543,84.68678941093833,0.9944742705404983,117.10234155519382
