particle,speed,disp,angle,path_len,persist_P
0,0.15350473211268004,2.3315535830555354,98.18401815457531,18.420567853521604,0.1265733826229355
1,1.9045969523557662,3.817588190446497,106.96235177339412,5.713790857067298,0.6681357938967231
2,2.5121662374791898,3.876763893174171,139.69919249414787,5.0243324749583795,0.7715978017968019
3,1.0793505551311082,4.291725288812376,106.7078553809021,12.952206661573298,0.3313508964881713
4,8.70466548771982,28.86317407551491,91.23899949823141,470.0519363368703,0.06140422332997188
5,1.4248733101993538,2.822476814633517,107.66086241806279,17.098479722392245,0.1650717993914505
6,2.3787573912785867,18.17527944066304,100.00339708426561,23.787573912785867,0.7640661257554219
7,1.8218897216641512,2.3974009447536067,95.63082404137754,25.506456103298117,0.09399192639872891
8,2.374298015897273,14.565715487008099,111.9987683192117,28.491576190767276,0.5112288414471128
9,5.123617469853308,26.331599539666406,105.89347298059617,61.48340963823969,0.4282716214763963
10,3.0962423130561696,58.588725284901194,82.38786414559522,108.36848095696594,0.5406435964361933
11,1.0883868754569876,1.1622703570670119,99.62516423378507,13.060642505483852,0.0889902894577355
14,3.83513219835426,54.26298827275962,93.02601289573985,172.5809489259417,0.31442050012162737
17,2.2981577428015227,6.612726746262408,84.69138499217901,85.03183648365633,0.07776765761766673
18,3.5750459045416054,31.457704882622874,92.99693980220243,185.90238703616347,0.1692162504427844
20,1.8345476560560676,2.17511996543039,86.29357966720606,55.03642968168203,0.0395214583869408
22,7.214750323046359,14.716988323051867,87.6275335081412,86.5770038765563,0.16998726756628957
23,4.495517819494304,13.076389222980122,79.46032725168571,13.486553458482911,0.9695871716398529
24,0.48320058079310885,0.917106571151269,90.15627678343692,14.012816843000156,0.06544769559372302
26,5.513559510774457,2.9295758227220414,95.39500699783115,121.29830923703807,0.02415182735150198
27,0.8984253292816762,0.8842557603871157,92.70458684745978,24.257483890605258,0.0364529051889665
28,12.11752883291964,40.89237455027605,114.6407385218142,48.47011533167856,0.8436615896300554
29,8.248179678938865,10.246763643877411,93.44862254832321,32.99271871575546,0.310576516356748
30,5.6922472386279095,75.5330340252552,90.25864025423346,227.6898895451164,0.3317364428264983
32,13.010953389491897,27.09649908337008,72.60050728023754,39.03286016847569,0.6941971192071178
33,11.940346897458438,23.455447130118255,48.88024853862369,23.880693794916876,0.9821928680778472
34,0.8963253303117876,2.2907366341763353,73.0437271829703,13.444879954676814,0.17037985031465458
