particle,speed,disp,angle,path_len,persist_P
0,0.3734113319626075,5.429054009298476,87.04585068126451,9.708694631027795,0.5591950530556277
1,0.8587906988190812,2.525169119825345,108.24863748907774,2.5763720964572436,0.9801259388337937
2,6.510000144938959,157.52536414076607,71.25079881432502,325.500007246948,0.4839488805948194
3,4.332981911640057,40.8731911374136,96.20949552582225,99.65858396772131,0.41013216835041655
4,1.0095942082569527,8.212779061806742,76.46189821601378,22.211072581652957,0.3697605791712533
5,4.853729268711775,9.356173651289561,82.97442810413946,92.22085610552372,0.10145398824517264
6,0.5746607691110064,0.8083108366596229,73.9436024637619,14.941179996886165,0.054099531417738086
7,3.7433922019486263,43.3788990427367,106.86843968800781,67.38105963507527,0.6437847560971833
8,4.6187467255282035,103.73202804525971,78.38863874069634,189.36861574665633,0.5477783508965175
9,4.468801889837906,59.44103254601252,96.93982650910914,102.78244346627183,0.5783189282274473
10,3.5974991656882347,18.944768680455205,97.75729924697659,71.94998331376469,0.26330469873550194
11,0.2652093189219967,1.7937204771339426,120.37136019614766,5.304186378439933,0.33817071067203175
12,0.45337431574752857,6.109881112041843,117.0622136932911,10.427609262193156,0.5859330704108873
13,3.495038772775565,62.637071446275414,95.86097493255753,87.37596931938913,0.7168684013943861
14,1.1263769116591993,5.103036152595339,97.61084052225536,15.76927676322879,0.32360622679251416
15,4.958082389176738,5.81955046061058,99.39638525529331,39.664659113413904,0.1467187816733942
16,1.5427925755399052,4.852958082941278,92.5561336164371,9.256755453239432,0.5242612389898417
17,0.20411707785870864,0.3628019763956252,84.73662447118289,5.102926946467716,0.07109683916732523
18,4.898164671814009,78.0871279985162,117.93233118528458,117.55595212353623,0.6642549916694702
19,4.026067854927873,76.27968975051415,92.34138982764411,116.75596779290831,0.6533258315824378
20,1.680805854443373,35.202755955206776,81.3994877414113,50.42417563330119,0.6981325031709221
21,1.4990975493832308,4.297033346074113,117.68615332915448,13.491877944449078,0.31849038093633425
22,4.115851808983851,34.57689604896919,102.769778942583,78.20118437069316,0.4421530994347357
23,1.5594170153655416,33.45598781683226,124.80366808850988,38.98542538413854,0.8581665452454967
24,1.6496722240546648,18.0927756111378,85.40086036945044,41.24180560136662,0.4386998907375254
25,6.218384926850889,25.957907783553456,102.35894836967984,49.74707941480711,0.5217976228736584
26,2.7087685905365975,22.595334899896265,71.01348933342308,62.301677582341746,0.36267618749162694
27,4.654131057016878,17.740519950597236,113.2508303144572,46.54131057016878,0.3811779198578958
28,5.418813833244832,85.92896521411383,95.7086527876954,151.7267873308553,0.5663401085975491
29,4.214968997002696,20.51310672831294,82.47230490787638,67.43950395204314,0.3041704865281928
30,0.03711853336833348,0.0862633536905055,83.14402123101392,0.2969482669466678,0.2904996031042622
31,0.16024437561738047,1.7828431047509845,94.4530146023703,4.8073312685214145,0.3708592158865997
32,7.516222887930906,15.39553417188363,89.53871058341372,45.097337327585436,0.3413845491597658
33,1.7429943464558644,5.906859718626929,111.29567126510658,27.88790954329383,0.21180718868357576
34,5.134784402461201,10.546281180971382,114.04196898611097,30.808706414767208,0.3423149624976252
35,2.0679365047266964,8.426742970683666,121.39504326713914,12.407619028360179,0.6791587452373097
37,8.249611876692924,119.7803334945527,79.68336783178233,379.48214632787455,0.31564155166093605
38,3.481128118728171,25.15320744003844,112.79094537933739,34.81128118728171,0.7225590837842578
39,3.461216575051773,9.049549703941308,112.17710013478263,10.383649725155319,0.8715191617084276
42,3.5880941434761517,9.594085952333895,75.12589771029513,35.88094143476152,0.2673866840918262
44,8.141665780462569,12.441255209266487,97.57190521000902,81.41665780462569,0.15280970190549428
45,5.351202144904494,10.277392185568917,105.82325490897557,48.160819304140446,0.21339737018729157
46,1.6041119752147828,3.197924730865646,144.5755634450081,3.2082239504295655,0.9967897441939674
47,3.792521479924133,68.6189577785503,84.96402581212725,72.05790811855853,0.9522751849200223
49,1.6560628846230432,4.637381630679757,114.38685210274093,8.280314423115216,0.5600489780598311
52,4.184733298726256,40.15053594278639,102.39873295260443,41.847332987262554,0.9594526837590192
53,1.9741241281130386,7.206079139011957,47.578718100111175,9.870620640565193,0.730053296689086
56,0.860551619224163,1.4316514528729216,130.92653816651188,1.721103238448326,0.831821950531938
57,0.8161192336510762,0.44511213236739167,91.3574859152992,2.4483577009532285,0.18180028685926672
58,9.18824204133555,130.8273733662066,80.2350791970314,220.5178089920532,0.5932735045944575
60,4.8107533143683305,73.85323514856482,89.11142132115567,81.78280634426162,0.9030410968985637
61,6.226264016137114,81.42204200951974,100.54342446996904,93.39396024205672,0.8718127146390582
62,4.7479980936667365,68.51002633040356,81.4230377394999,71.21997140500105,0.9619496466912764
66,6.452025185731472,15.703761005820253,97.89517194116526,64.52025185731472,0.24339274187194457
68,2.0067111791937995,5.135157049557641,117.30762910617577,10.033555895968998,0.5117983198380048
70,9.454441050715673,52.592887404624896,80.3017523713089,198.54326206502913,0.264893841561841
71,8.043977486399799,23.247997255219,85.54640092313495,64.35181989119839,0.36126402166286997
72,7.8532860344434114,106.01755058978608,91.00794773932297,117.79929051665117,0.8999846274524064
73,9.685482456573078,23.95696406027969,72.19351854227051,48.42741228286539,0.49469841420282035
74,1.5196277740980966,7.52330199718222,59.485075711956796,9.11776664458858,0.8251255258487364
75,11.65942139301879,22.83808027202161,20.091605078787154,23.31884278603758,0.9793830886709424
77,9.44300617131279,106.23575544523035,87.6084244906654,188.8601234262558,0.5625102510679668
78,9.698921092634208,47.53205402764047,91.3463048413814,48.49460546317104,0.9801513709342047
