frame,x,y,particle
1,54.649874055415616,308.56297229219143,0
1,954.3367346938776,386.7857142857143,1
1,629.4952198852773,433.1261950286807,2
1,520.518115942029,497.9014492753623,3
1,634.3991228070175,531.1038011695906,4
1,751.3905249679898,555.7234314980794,5
1,738.3387755102041,555.2285714285714,6
1,307.13962765957444,641.4667553191489,7
1,641.1102941176471,759.4669117647059,8
1,307.8541666666667,771.65625,9
1,639.3836817262306,887.745785569791,10
1,319.1463414634146,841.6585365853658,11
1,724.3930348258707,967.7487562189054,12
1,194.23673469387754,999.6857142857143,13
1,881.0952380952381,1015.3463203463203,14
1,217.375,1008.4375,15
1,184.84313725490196,1012.9803921568628,16
1,316.37142857142857,768.4571428571429,17
1,317.0552147239264,794.6073619631902,18
2,629.530612244898,439.48571428571427,2
2,54.13157894736842,293.3421052631579,0
2,518.7466174661747,494.64329643296435,3
2,47.49152542372882,287.135593220339,19
2,628.75,422.22222222222223,20
2,304.9708108108108,638.8324324324325,7
2,300.7096774193548,783.3225806451613,9
2,313.6764705882353,769.9264705882352,17
2,299.7631578947368,746.8157894736842,21
2,743.1335978835979,552.9285714285714,6
2,756.1944444444445,566.6296296296297,5
2,621.448275862069,524.9310344827586,4
2,631.1929437706725,886.5578831312017,10
2,760.4211123723042,1006.2202043132804,22
2,874.4558823529412,1017.3235294117648,14
3,620.7777777777778,880.4444444444445,10
3,321.1948051948052,826.3246753246754,11
3,299.8942028985507,638.7376811594203,7
3,641.1621052631579,870.1136842105263,28
3,294.46305418719214,800.6305418719212,9
3,312.30882352941177,787.5882352941177,18
3,533.8039215686274,498.01960784313724,3
3,516.4851994851995,475.2226512226512,23
3,770.8813559322034,1002.1610169491526,26
3,754.8307692307692,1013.5538461538462,22
3,652.8333333333334,909.6538461538462,24
3,735.62,564.5,6
3,621.3297872340426,532.6808510638298,4
3,755.3555555555556,992.9444444444445,25
3,851.5333333333333,272.0,27
3,636.0416666666666,906.625,30
3,61.689320388349515,310.5242718446602,0
3,623.3671875,421.375,20
3,622.2465753424658,897.1123287671232,29
4,749.5,1012.3157894736842,22
4,756.2941176470588,1009.9215686274509,25
4,644.4864864864865,888.5945945945946,28
4,875.88,1018.7466666666667,14
4,497.1,455.61,31
4,766.7362204724409,997.2716535433071,26
