x,y,frame,particle
14.840579710144928,15.507246376811594,0,0
314.9562383612663,311.7067039106145,0,1
146.9418604651163,262.3837209302326,0,2
256.17123287671234,253.06164383561645,0,3
118.7090909090909,250.6909090909091,0,4
309.6521739130435,253.44347826086957,0,5
165.3780487804878,244.71951219512195,0,6
396.2121335504886,292.20561889250814,0,7
230.88,243.2,0,8
196.7625,233.65,0,9
356.875,226.45833333333334,0,10
142.71428571428572,216.69387755102042,0,11
368.4807692307692,211.03846153846155,0,12
205.16949152542372,213.27966101694915,0,13
412.00228310502285,215.96118721461187,0,14
138.4262295081967,231.9672131147541,0,15
206.94117647058823,279.7294117647059,0,16
160.05882352941177,275.0980392156863,0,17
336.34645669291336,286.11811023622045,0,18
400.5952380952381,431.8673469387755,0,19
399.6984126984127,413.7936507936508,0,20
378.79901960784315,430.5049019607843,0,21
117.23255813953489,370.6279069767442,0,22
63.23270440251572,336.39622641509436,0,23
101.25181598062954,324.75544794188863,0,24
38.65853658536585,321.4878048780488,0,25
130.35,311.1,0,26
65.05405405405405,315.0945945945946,0,27
2.37,313.75,0,28
46.2112676056338,307.8732394366197,0,29
112.61904761904762,295.0,0,30
85.48091603053435,300.07442748091603,0,31
472.6136363636364,281.40909090909093,0,32
317.30357142857144,281.3482142857143,0,33
182.93203883495147,204.1747572815534,0,34
212.77777777777777,190.62962962962962,0,35
199.6888888888889,269.06666666666666,0,36
316.20017636684304,212.20017636684304,0,37
288.15555555555557,104.96666666666667,0,38
96.29565217391304,103.14782608695653,0,39
331.9967159277504,106.45320197044335,0,40
291.27272727272725,85.32727272727273,0,41
413.97744360902254,84.01503759398496,0,42
400.87412587412587,85.84615384615384,0,43
64.68,65.15,0,44
391.6020942408377,58.931937172774866,0,45
395.06201550387595,46.76744186046512,0,46
472.04089219330854,48.55762081784387,0,47
40.38461538461539,47.30769230769231,0,48
3.425531914893617,32.765957446808514,0,49
282.59,27.69,0,50
251.7912087912088,28.032967032967033,0,51
337.1875,183.796875,0,52
85.64957264957265,107.62393162393163,0,53
230.03303964757708,129.16189427312776,0,54
245.98823529411766,16.564705882352943,0,55
463.9318181818182,155.76136363636363,0,56
332.3478260869565,173.52173913043478,0,57
353.54135338345867,180.49624060150376,0,58
237.8962472406181,217.11810154525386,0,59
324.62666666666667,160.06,0,60
267.6189189189189,114.14594594594594,0,61
408.6842105263158,150.82456140350877,0,62
434.0613409415121,166.89158345221114,0,63
461.9415584415584,142.53246753246754,0,64
119.89902280130293,152.29315960912052,0,65
185.1196911196911,139.94594594594594,0,66
365.72727272727275,129.3181818181818,0,67
337.5263157894737,129.39097744360902,0,68
353.609756097561,116.7560975609756,0,69
430.84831460674155,123.17977528089888,0,70
387.3330751355538,149.76607281177382,0,71
155.5909090909091,237.63636363636363,1,6
134.39495798319328,246.60504201680672,1,72
377.57377049180326,188.19672131147541,1,73
334.46700507614213,254.16751269035532,1,74
380.72340425531917,260.8723404255319,1,75
331.52542372881356,240.05084745762713,1,76
127.96153846153847,230.03846153846155,1,15
429.23595505617976,189.51685393258427,1,77
351.48,232.5,1,10
134.88888888888889,216.9777777777778,1,11
202.80582524271844,215.1359223300971,1,13
407.0090909090909,217.1,1,14
413.1470588235294,203.77450980392157,1,78
219.45833333333334,199.02777777777777,1,35
139.0614525139665,273.5977653631285,1,2
210.32921810699588,239.52880658436214,1,9
464.89247311827955,273.0537634408602,1,32
29.96969696969697,310.1515151515151,1,25
155.9278350515464,277.70103092783506,1,17
400.3378378378378,434.5081081081081,1,19
379.98692810457516,431.921568627451,1,21
400.4259259259259,413.0740740740741,1,20
388.01785714285717,408.30357142857144,1,79
117.27272727272727,370.40909090909093,1,22
59.993788819875775,337.832298136646,1,23
196.2549019607843,269.88235294117646,1,36
349.79896907216494,332.14948453608247,1,80
49.774193548387096,310.39784946236557,1,29
317.66187989556136,318.79373368146213,1,1
445.7289719626168,292.66355140186914,1,81
86.01030927835052,302.819587628866,1,31
330.5140186915888,290.1214953271028,1,18
383.6524947294448,296.9606465214336,1,7
105.26558265582656,323.6341463414634,1,24
275.6470588235294,182.2549019607843,1,82
386.8888888888889,229.42222222222222,1,83
365.05045871559633,176.87614678899084,1,58
329.55555555555554,108.67806267806267,1,40
233.390243902439,105.04878048780488,1,84
341.5373665480427,114.83985765124555,1,69
84.85365853658537,103.47967479674797,1,53
402.6136363636364,88.95454545454545,1,43
94.24770642201835,95.66055045871559,1,39
293.1846473029046,97.17842323651452,1,38
298.98,73.76,1,41
396.9406392694064,66.72374429223744,1,45
466.06049822064057,49.2491103202847,1,47
39.76136363636363,49.98863636363637,1,48
45.626666666666665,37.733333333333334,1,85
243.7816091954023,26.103448275862068,1,55
255.75581395348837,21.813953488372093,1,51
8.704225352112676,11.915492957746478,1,0
269.5896805896806,111.86977886977887,1,61
414.9076923076923,109.61538461538461,1,86
282.62105263157895,27.25263157894737,1,50
230.21773288439954,143.0516273849607,1,54
388.74310344827586,120.81896551724138,1,87
416.31060606060606,171.66666666666666,1,88
280.520325203252,169.8861788617886,1,89
248.5520295202952,208.79557195571957,1,59
324.52150537634407,164.8548387096774,1,60
443.21308016877634,163.04008438818565,1,63
395.68224299065423,158.17757009345794,1,71
338.3703703703704,144.1851851851852,1,68
304.5481738035264,234.82493702770782,1,90
185.66206896551725,145.95172413793102,1,66
428.4074074074074,140.2037037037037,1,91
319.6041666666667,140.91666666666666,1,92
109.84098939929329,150.0494699646643,1,65
452.97975708502025,138.9919028340081,1,64
363.0149253731343,144.50149253731342,1,93
450.3720930232558,115.76744186046511,1,94
326.14462809917353,282.4504132231405,2,18
374.98823529411766,261.8588235294118,2,75
119.44444444444444,252.53968253968253,2,4
377.04164017800383,292.06865861411313,2,7
130.62264150943398,242.9056603773585,2,72
257.5,233.31690140845072,2,95
464.9574468085106,274.32978723404256,2,32
208.5,241.13636363636363,2,9
123.3132530120482,229.78313253012047,2,15
224.33333333333334,228.30434782608697,2,96
24.025,222.65,2,97
364.28846153846155,222.3653846153846,2,12
158.63829787234042,234.59574468085106,2,6
287.1195175438597,297.3980263157895,2,98
442.30927835051546,294.64948453608247,2,81
96.95991561181435,315.93459915611817,2,24
50.44444444444444,298.68888888888887,2,29
40.876068376068375,309.2350427350427,2,25
316.66468489892986,319.8180737217598,2,1
136.9375,316.25,2,26
83.95,330.85,2,99
350.1936936936937,335.85135135135135,2,80
62.1875,341.45,2,23
117.05,370.475,2,22
399.05357142857144,414.125,2,20
400.11764705882354,436.0748663101604,2,19
129.23636363636365,214.78181818181818,2,11
380.0673076923077,437.6923076923077,2,21
144.20634920634922,284.8412698412698,2,2
45.45882352941177,328.7647058823529,2,100
33.73170731707317,210.6829268292683,2,101
216.71428571428572,193.57142857142858,2,35
204.3913043478261,210.9913043478261,2,13
248.3409090909091,18.863636363636363,2,55
282.6276595744681,26.882978723404257,2,50
253.74358974358975,31.423076923076923,2,51
43.903225806451616,40.655913978494624,2,85
38.623931623931625,51.22222222222222,2,48
410.7067209775967,68.73523421588595,2,45
285.0224215246637,101.60089686098655,2,38
88.55,90.15,2,102
83.08333333333333,103.25925925925925,2,53
231.82739726027398,132.25570776255708,2,54
97.24285714285715,102.85714285714286,2,39
334.39122807017543,111.31754385964912,2,40
455.28524590163937,50.032786885245905,2,47
457.3157894736842,140.59649122807016,2,64
407.08265802269045,208.03403565640195,2,78
382.1585728444004,125.40931615460852,2,87
299.45454545454544,174.62121212121212,2,103
288.3880597014925,175.8507462686567,2,89
236.5921052631579,176.9078947368421,2,104
295.80520861015145,204.19080520861016,2,105
419.4403669724771,172.9724770642202,2,88
193.96634615384616,153.63221153846155,2,66
474.475,145.25,2,56
442.9942307692308,159.24615384615385,2,63
315.69767441860466,138.09302325581396,2,92
105.47008547008546,146.5042735042735,2,65
396.3536585365854,144.82926829268294,2,71
377.08307573415766,290.4451313755796,3,7
195.41666666666666,267.4583333333333,3,36
138.07692307692307,263.4307692307692,3,106
196.20338983050848,249.74576271186442,3,107
118.83529411764705,251.5529411764706,3,4
465.4315789473684,273.88421052631577,3,32
300.88732394366195,243.64788732394365,3,90
25.714285714285715,222.51020408163265,3,97
330.0331125827815,252.01324503311258,3,74
123.82795698924731,228.3978494623656,3,15
285.4968944099379,228.6335403726708,3,108
78.0,220.87234042553192,3,109
32.06818181818182,218.75,3,101
125.6774193548387,216.09677419354838,3,11
285.17026378896884,305.01798561151077,3,98
162.8048780487805,235.1219512195122,3,6
316.9894086496028,310.747572815534,3,1
117.06818181818181,370.3863636363636,3,22
443.13432835820896,295.34328358208955,3,81
402.45893719806764,216.10628019323673,3,14
399.5710843373494,438.8072289156627,3,19
380.0833333333333,430.625,3,21
396.22727272727275,416.93939393939394,3,20
58.07017543859649,349.82456140350877,3,23
75.51492537313433,349.96268656716416,3,110
338.64044943820227,341.9438202247191,3,80
367.05555555555554,332.75925925925924,3,111
106.1969111969112,334.2046332046332,3,112
76.03260869565217,325.7717391304348,3,99
405.8679245283019,322.8490566037736,3,113
140.24242424242425,319.3030303030303,3,26
93.21271393643032,312.0464547677262,3,24
43.318627450980394,316.80392156862746,3,25
51.6,300.90909090909093,3,29
148.14,288.38,3,2
387.4761904761905,206.52380952380952,3,114
189.0,154.94985250737463,3,66
406.0948275862069,200.33620689655172,3,78
416.7457627118644,121.98305084745763,3,86
337.47727272727275,118.47727272727273,3,69
383.8877805486284,126.61596009975062,3,87
